OBJECTID,KOM_NAMN,ID,Shape_Area,Shape_Length,,KOMMUNID_txt
1,Upplands Väsby,114,84204845.3605957,58366.3220409382,,0114
2,Vallentuna,115,371060649.800293,99790.0034517189,,0115
3,Österåker,117,557633250.660156,160039.781328273,,0117
4,Värmdö,120,1641422888.16992,225032.561632938,,0120
5,Järfälla,123,63359038.1308594,44211.3236267746,,0123
6,Ekerö,125,386551507.43335,91628.1498711187,,0125
7,Huddinge,126,141388717.272949,65196.1345937629,,0126
8,Botkyrka,127,223494331.591797,88496.2610139534,,0127
9,Salem,128,71498060.6552734,55327.9155055244,,0128
10,Haninge,136,1237204175.58154,178559.763417218,,0136
11,Tyresö,138,101014333.367188,54012.2756450274,,0138
12,Upplands-Bro,139,328302950.262207,86038.9652812272,,0139
13,Nykvarn,140,177907112.528076,70931.3821900725,,0140
14,Täby,160,71578514.5717773,37627.6994270653,,0160
15,Danderyd,162,32572741.7070313,27654.9152977527,,0162
16,Sollentuna,163,58284898.1728516,43880.5108419881,,0163
17,Stockholm,180,215786227.392334,119625.253038643,,0180
18,Södertälje,181,697746586.885498,213180.676669648,,0181
19,Nacka,182,129475451.787109,62773.313392866,,0182
20,Sundbyberg,183,8813399.20922852,16218.997456254,,0183
21,Solna,184,21775755.112793,24036.9170606311,,0184
22,Lidingö,186,49271872.375,32008.8196101442,,0186
23,Vaxholm,187,110103073.755859,54625.5121762789,,0187
24,Norrtälje,188,3578111466.98486,353328.973209169,,0188
25,Sigtuna,191,351741519.70752,114744.44263956,,0191
26,Nynäshamn,192,752865132.559082,139129.673519199,,0192
27,Håbo,305,186116024.062012,78020.8368553977,,0305
28,Älvkarleby,319,273624508.057861,89006.0180170587,,0319
29,Knivsta,330,296800877.208252,106577.645027555,,0330
30,Heby,331,1231764500.05664,188897.384753386,,0331
31,Tierp,360,1802071599.05176,241660.383085559,,0360
32,Uppsala,380,2246748821.10938,295205.663277019,,0380
33,Enköping,381,1330553079.08252,210212.402428048,,0381
34,Östhammar,382,1950644558.32617,279161.255886708,,0382
35,Vingåker,428,441531004.525146,118308.51642894,,0428
36,Gnesta,461,540792073.111816,118564.567725502,,0461
37,Nyköping,480,1826189230.31909,288139.687963086,,0480
38,Oxelösund,481,76336171.2629395,41884.9589690719,,0481
39,Flen,482,830060609.470947,182080.53987793,,0482
40,Katrineholm,483,1195053343.73975,233131.17094401,,0483
41,Eskilstuna,484,1256752991.09351,191684.960461844,,0484
42,Strängnäs,486,979638384.255127,159118.295165596,,0486
43,Trosa,488,485516073.129395,118046.809400944,,0488
44,Ödeshög,509,536523118.764648,128082.895072169,,0509
45,Ydre,512,782019478.305908,143905.461317017,,0512
46,Kinda,513,1307735005.53809,197991.72315991,,0513
47,Boxholm,560,606565948.09375,145171.234142891,,0560
48,Åtvidaberg,561,783790944.582031,152650.835683378,,0561
49,Finspång,562,1220798357.46948,199706.128067336,,0562
50,Valdemarsvik,563,1123947812.50146,227448.245250856,,0563
51,Linköping,580,1574910238.34717,273541.902312995,,0580
52,Norrköping,581,1960205562.2959,308580.012861969,,0581
53,Söderköping,582,1008313985.57739,214854.760085116,,0582
54,Motala,583,1183585173.42407,221127.052856487,,0583
55,Vadstena,584,256435997.378174,95755.6274638138,,0584
56,Mjölby,586,559691756.152832,169268.140374928,,0586
57,Aneby,604,556488882.627441,168787.399222871,,0604
58,Gnosjö,617,451878102.35498,141872.826621769,,0617
59,Mullsjö,642,212270657.580078,102588.700423824,,0642
60,Habo,643,385817687.480469,130161.525535343,,0643
61,Gislaved,662,1224547779.43335,329747.345466922,,0662
62,Vaggeryd,665,863478073.296143,183781.144305999,,0665
63,Jönköping,680,1560468472.08423,388856.471856183,,0680
64,Nässjö,682,991747066.499512,203371.267552115,,0682
65,Värnamo,683,1391576376.13232,260069.496412447,,0683
66,Sävsjö,684,731849094.384277,157760.921908968,,0684
67,Vetlanda,685,1606651546.47632,278584.902660526,,0685
68,Eksjö,686,877670756.669678,170112.505675676,,0686
69,Tranås,687,439454516.653076,128681.838386476,,0687
70,Uppvidinge,760,1231800176.64209,221812.666222527,,0760
71,Lessebo,761,458209910.112549,139990.575062071,,0761
72,Tingsryd,763,1212190834.21313,216496.137030773,,0763
73,Alvesta,764,1078913627.75024,236758.118953391,,0764
74,Älmhult,765,981621787.411865,221503.466976824,,0765
75,Markaryd,767,535776452.359863,113416.785266636,,0767
76,Växjö,780,1922012449.94165,293034.525481127,,0780
77,Ljungby,781,2001443580.61084,253971.641752272,,0781
78,Högsby,821,802751099.0354,195541.268214783,,0821
79,Torsås,834,509711905.852539,108826.672947564,,0834
80,Mörbylånga,840,807566692.024658,157819.258226421,,0840
81,Hultsfred,860,1192061725.38257,230779.931944084,,0860
82,Mönsterås,861,945169638.372803,170454.465627226,,0861
83,Emmaboda,862,721822952.890381,178217.21428034,,0862
84,Kalmar,880,1079714748.69214,218107.013458336,,0880
85,Nybro,881,1206524653.61353,254999.354039612,,0881
86,Oskarshamn,882,1338485597.17505,233922.082020919,,0882
87,Västervik,883,2499200894.0459,282707.10376342,,0883
88,Vimmerby,884,1225060536.4165,216340.728788673,,0884
89,Borgholm,885,939539943.014648,207907.952862454,,0885
90,Gotland,980,3704231091.81299,449854.006146899,,0980
91,Olofström,1060,414980100.970947,102787.331851544,,1060
92,Karlskrona,1080,1298687845.79248,230688.088554747,,1080
93,Ronneby,1081,957502154.29834,216431.594131255,,1081
94,Karlshamn,1082,568526740.131348,125935.461766068,,1082
95,Sölvesborg,1083,255680411.729492,83179.102042622,,1083
96,Svalöv,1214,390579798.339355,132830.386901626,,1214
97,Staffanstorp,1230,107745576.416992,64805.2867541827,,1230
98,Burlöv,1231,19259890.6345215,28908.44570693,,1231
99,Vellinge,1233,199300444.026367,89458.0350615283,,1233
100,Östra Göinge,1256,452905142.253418,140772.00114247,,1256
101,Örkelljunga,1257,331033881.329346,103253.977637739,,1257
102,Bjuv,1260,116386299.843018,66595.648339793,,1260
103,Kävlinge,1261,173515546.856445,80577.7684529106,,1261
104,Lomma,1262,67048035.1418457,46146.4908977367,,1262
105,Svedala,1263,227400354.248779,92975.673496299,,1263
106,Skurup,1264,201150548.595947,93560.3834532207,,1264
107,Sjöbo,1265,508615063.887207,148680.251324013,,1265
108,Hörby,1266,434808047.391846,126614.156445894,,1266
109,Höör,1267,321933808.647461,116148.379743907,,1267
110,Tomelilla,1270,398957274.881836,149755.567423606,,1270
111,Bromölla,1272,196728419.447021,82810.4469639592,,1272
112,Osby,1273,601405634.843506,204917.486598774,,1273
113,Perstorp,1275,162622234.360596,61591.7267631613,,1275
114,Klippan,1276,381116958.766846,132802.783018643,,1276
115,Åstorp,1277,92488686.8395996,67931.652906737,,1277
116,Båstad,1278,270950337.510132,86767.9959453203,,1278
117,Malmö,1280,176500881.58374,62721.9283169503,,1280
118,Lund,1281,442523256.795166,146002.228092866,,1281
119,Landskrona,1282,169590623.896729,105614.663894437,,1282
120,Helsingborg,1283,357802631.163818,140253.836628343,,1283
121,Höganäs,1284,187197484.225342,72426.7817314539,,1284
122,Eslöv,1285,425398696.775635,175928.570646181,,1285
123,Ystad,1286,375614334.331543,134327.650621432,,1286
124,Trelleborg,1287,364982258.643555,106070.504626166,,1287
125,Kristianstad,1290,1387365955.10986,247816.393197906,,1290
126,Simrishamn,1291,417271985.557861,133661.329985961,,1291
127,Ängelholm,1292,441749325.196533,127602.008255239,,1292
128,Hässleholm,1293,1312754547.15527,207856.518884485,,1293
129,Hylte,1315,1052081615.36255,223105.816374291,,1315
130,Halmstad,1380,1105709426.59375,197751.654533673,,1380
131,Laholm,1381,967856218.271729,150915.716113772,,1381
132,Falkenberg,1382,1217132698.57556,260464.046171517,,1382
133,Varberg,1383,1097204584.03003,189238.410819756,,1383
134,Kungsbacka,1384,935138124.585693,143906.542197216,,1384
135,Härryda,1401,292468997.437988,96504.3373575634,,1401
136,Partille,1402,59289703.114624,35714.2115998932,,1402
137,Öckerö,1407,123298922.82251,49151.4102096374,,1407
138,Stenungsund,1415,302677390.769287,85414.4333134547,,1415
139,Tjörn,1419,345268125.619629,96636.3850256572,,1419
140,Orust,1421,579981339.888184,122736.656376933,,1421
141,Sotenäs,1427,240739908.395874,68450.1890072112,,1427
142,Munkedal,1430,678668159.933228,176771.752040216,,1430
143,Tanum,1435,1206188869.04077,216414.901464914,,1435
144,Dals-Ed,1438,829853301.379517,173369.726803545,,1438
145,Färgelanda,1439,622475263.661865,140558.294467957,,1439
146,Ale,1440,333539215.725098,115157.871702268,,1440
147,Lerum,1441,309600269.846558,110200.057371243,,1441
148,Vårgårda,1442,443364500.045166,119046.726722677,,1442
149,Bollebygd,1443,283998586.283936,97551.8166949248,,1443
150,Grästorp,1444,282342996.216309,109243.055163602,,1444
